species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-000341,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,jacana spinosa,Jacana spinosa,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Jacana,GBIF,GBIF Backbone:9520263.0,7,6,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000342,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,jatropha jatropha integerrima,Jatropha Jatropha integerrima,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Jatropha,SNIB,SNIB/CONABIO valid taxonomy:jatropha jatropha integerrima,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000343,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,kallstroemia kallstroemia maxima,Kallstroemia Kallstroemia maxima,species,Plantae,Tracheophyta,Magnoliopsida,Zygophyllales,Zygophyllaceae,Kallstroemia,SNIB,SNIB/CONABIO valid taxonomy:kallstroemia kallstroemia maxima,2,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000344,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,laevicardium laevicardium pictum,Laevicardium Laevicardium pictum,species,Animalia,Mollusca,Bivalvia,Venerida,Cardiidae,Laevicardium,SNIB,SNIB/CONABIO valid taxonomy:laevicardium laevicardium pictum,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000345,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,lantana,Lantana,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,,Naturalista,Naturalista/iNaturalist taxonomy:50334,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000347,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,lantana lantana involucrata,Lantana Lantana involucrata,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Lantana,SNIB,SNIB/CONABIO valid taxonomy:lantana lantana involucrata,4,4,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
SP-000346,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,lantana involucrata,Lantana involucrata,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Lantana,GBIF; Naturalista,GBIF Backbone:2925313.0; Naturalista/iNaturalist taxonomy:133331,3,3,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx; Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000348,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,larus larus argentatus,Larus Larus argentatus,species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,SNIB,SNIB/CONABIO valid taxonomy:larus larus argentatus,2,2,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000349,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,larus larus delawarensis,Larus Larus delawarensis,species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,SNIB,SNIB/CONABIO valid taxonomy:larus larus delawarensis,2,2,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
SP-000350,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,larus larus smithsonianus,Larus Larus smithsonianus,species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,SNIB,SNIB/CONABIO valid taxonomy:larus larus smithsonianus,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
SP-000351,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,laurencia laurencia caraibica,Laurencia Laurencia caraibica,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,SNIB,SNIB/CONABIO valid taxonomy:laurencia laurencia caraibica,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000352,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,laurencia laurencia intricata,Laurencia Laurencia intricata,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,SNIB,SNIB/CONABIO valid taxonomy:laurencia laurencia intricata,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000353,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,leiothlypis leiothlypis peregrina,Leiothlypis Leiothlypis peregrina,species,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,SNIB,SNIB/CONABIO valid taxonomy:leiothlypis leiothlypis peregrina,6,5,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
