species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-002203,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cronius ruber,Cronius ruber,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Cronius,GBIF; OBIS,GBIF Backbone:2225637.0; WoRMS/OBIS:241109,10,8,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002204,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crucibulum,Crucibulum,Genus,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crucibulum,OBIS,WoRMS/OBIS:160231,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002206,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crucibulum crucibulum auricula,Crucibulum Crucibulum auricula,species,Animalia,Mollusca,Gastropoda,No Asignado,Calyptraeidae,Crucibulum,SNIB,SNIB/CONABIO valid taxonomy:crucibulum crucibulum auricula,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002205,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crucibulum auricula,Crucibulum auricula,SPECIES,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crucibulum,GBIF,GBIF Backbone:5192759.0,5,5,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002207,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crustacea,Crustacea,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Crustacea,GBIF; OBIS,GBIF Backbone:10996236.0; WoRMS/OBIS:1066,64,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002208,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryomorphaceae,Cryomorphaceae,FAMILY,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,,GBIF; OBIS,GBIF Backbone:3853.0; WoRMS/OBIS:559981,20,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002210,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryoturris cryoturris fargoi,Cryoturris Cryoturris fargoi,species,Animalia,Mollusca,Gastropoda,Neogastropoda,Turridae,Cryoturris,SNIB,SNIB/CONABIO valid taxonomy:cryoturris cryoturris fargoi,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002212,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryoturris woodring 1928,"Cryoturris Woodring, 1928",GENUS,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Cryoturris,GBIF,GBIF Backbone:2303898.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002209,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryoturris citronella,Cryoturris citronella,SPECIES,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Cryoturris,GBIF,GBIF Backbone:2303900.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002211,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryoturris fargoi,Cryoturris fargoi,SPECIES,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Cryoturris,GBIF,GBIF Backbone:2303907.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
