species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-002694,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium epitonium candeanum,Epitonium Epitonium candeanum,species,Animalia,Mollusca,Gastropoda,No Asignado,Epitoniidae,Epitonium,SNIB,SNIB/CONABIO valid taxonomy:epitonium epitonium candeanum,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002695,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium epitonium foliaceicosta,Epitonium Epitonium foliaceicosta,species,Animalia,Mollusca,Gastropoda,No Asignado,Epitoniidae,Epitonium,SNIB,SNIB/CONABIO valid taxonomy:epitonium epitonium foliaceicosta,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002696,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium epitonium krebsii,Epitonium Epitonium krebsii,species,Animalia,Mollusca,Gastropoda,No Asignado,Epitoniidae,Epitonium,SNIB,SNIB/CONABIO valid taxonomy:epitonium epitonium krebsii,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002697,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium epitonium multistriatum,Epitonium Epitonium multistriatum,species,Animalia,Mollusca,Gastropoda,No Asignado,Epitoniidae,Epitonium,SNIB,SNIB/CONABIO valid taxonomy:epitonium epitonium multistriatum,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002698,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium epitonium novangliae,Epitonium Epitonium novangliae,species,Animalia,Mollusca,Gastropoda,No Asignado,Epitoniidae,Epitonium,SNIB,SNIB/CONABIO valid taxonomy:epitonium epitonium novangliae,3,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002699,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium epitonium pigrum,Epitonium Epitonium pigrum,species,Animalia,Mollusca,Gastropoda,No Asignado,Epitoniidae,Epitonium,SNIB,SNIB/CONABIO valid taxonomy:epitonium epitonium pigrum,4,4,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002691,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium apiculatum,Epitonium apiculatum,SPECIES,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Epitonium,GBIF; OBIS,GBIF Backbone:2300597.0; WoRMS/OBIS:419804,2,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002692,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium candeanum,Epitonium candeanum,SPECIES,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Epitonium,GBIF; OBIS,GBIF Backbone:2300608.0; WoRMS/OBIS:419806,2,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002700,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium foliaceicosta,Epitonium foliaceicosta,SPECIES,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Epitonium,GBIF; OBIS,GBIF Backbone:2300596.0; WoRMS/OBIS:419808,2,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002701,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium krebsii,Epitonium krebsii,SPECIES,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Epitonium,GBIF; OBIS,GBIF Backbone:2300579.0; WoRMS/OBIS:419811,3,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
