species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-006821,RBBK,Reserva de la Biosfera Balam Kú,anthanassa anthanassa tulcis,Anthanassa Anthanassa tulcis,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anthanassa,SNIB,SNIB/CONABIO valid taxonomy:anthanassa anthanassa tulcis,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006822,RBBK,Reserva de la Biosfera Balam Kú,anthanassa frisia,Anthanassa frisia,SUBSPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anthanassa,GBIF,GBIF Backbone:1902699.0,194,6,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006823,RBBK,Reserva de la Biosfera Balam Kú,anthanassa tulcis,Anthanassa tulcis,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,,Naturalista,Naturalista/iNaturalist taxonomy:194134.0,1,1,Insumos/RB Balam Kú/BalamKu_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006824,RBBK,Reserva de la Biosfera Balam Kú,anthonomus anthonomus eugenii,Anthonomus Anthonomus eugenii,species,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Anthonomus,SNIB,SNIB/CONABIO valid taxonomy:anthonomus anthonomus eugenii,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006825,RBBK,Reserva de la Biosfera Balam Kú,anthonomus anthonomus yucatanus,Anthonomus Anthonomus yucatanus,species,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Anthonomus,SNIB,SNIB/CONABIO valid taxonomy:anthonomus anthonomus yucatanus,44,13,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006826,RBBK,Reserva de la Biosfera Balam Kú,anthonomus eugenii,Anthonomus eugenii,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Anthonomus,GBIF,GBIF Backbone:5013699.0,1,1,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006827,RBBK,Reserva de la Biosfera Balam Kú,anthonomus yucatanus,Anthonomus yucatanus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Anthonomus,GBIF,GBIF Backbone:5013700.0,44,13,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006828,RBBK,Reserva de la Biosfera Balam Kú,anthracinae,Anthracinae,,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,,Naturalista,Naturalista/iNaturalist taxonomy:205719.0,1,1,Insumos/RB Balam Kú/BalamKu_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006829,RBBK,Reserva de la Biosfera Balam Kú,anthracothorax anthracothorax prevostii,Anthracothorax Anthracothorax prevostii,species,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,SNIB,SNIB/CONABIO valid taxonomy:anthracothorax anthracothorax prevostii,15,15,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,Preocupación menor (LC),Apéndice II,,,,,source_authority_resolved,source_traceable
SP-006830,RBBK,Reserva de la Biosfera Balam Kú,anthracothorax anthracothorax prevostii prevostii subespecie,Anthracothorax Anthracothorax prevostii prevostii subespecie,species,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,SNIB,SNIB/CONABIO valid taxonomy:anthracothorax anthracothorax prevostii prevostii subespecie,5,4,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,Preocupación menor (LC),Apéndice II,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
